ProvinceKey,FuelKey,DateKey,Year,Month,Generation_GWh
ON,BIO,20190501,2019,5,26.4
ON,GAS,20190501,2019,5,385.4
ON,HYD,20190501,2019,5,3544.8
ON,NUC,20190501,2019,5,6938.5
ON,SOL,20190501,2019,5,66.5
ON,WND,20190501,2019,5,637.4
ON,BIO,20190601,2019,6,20.3
ON,GAS,20190601,2019,6,280.3
ON,HYD,20190601,2019,6,3119.0
ON,NUC,20190601,2019,6,8083.7
ON,SOL,20190601,2019,6,72.5
ON,WND,20190601,2019,6,381.9
ON,BIO,20190701,2019,7,34.8
ON,GAS,20190701,2019,7,1598.6
ON,HYD,20190701,2019,7,2926.0
ON,NUC,20190701,2019,7,8424.4
ON,SOL,20190701,2019,7,84.3
ON,WND,20190701,2019,7,512.5
ON,BIO,20190801,2019,8,32.9
ON,GAS,20190801,2019,8,973.5
ON,HYD,20190801,2019,8,2478.6
ON,NUC,20190801,2019,8,8473.4
ON,SOL,20190801,2019,8,83.2
ON,WND,20190801,2019,8,510.8
ON,BIO,20190901,2019,9,25.0
ON,GAS,20190901,2019,9,513.7
ON,HYD,20190901,2019,9,2340.6
ON,NUC,20190901,2019,9,7689.1
ON,SOL,20190901,2019,9,66.3
ON,WND,20190901,2019,9,701.7
ON,BIO,20191001,2019,10,13.0
ON,GAS,20191001,2019,10,316.0
ON,HYD,20191001,2019,10,2645.2
ON,NUC,20191001,2019,10,7866.7
ON,SOL,20191001,2019,10,44.0
ON,WND,20191001,2019,10,824.2
ON,BIO,20191101,2019,11,32.1
ON,GAS,20191101,2019,11,901.6
ON,HYD,20191101,2019,11,2935.8
ON,NUC,20191101,2019,11,7105.3
ON,SOL,20191101,2019,11,25.7
ON,WND,20191101,2019,11,1154.2
ON,BIO,20191201,2019,12,29.4
ON,GAS,20191201,2019,12,848.0
ON,HYD,20191201,2019,12,2988.9
ON,NUC,20191201,2019,12,7990.6
ON,SOL,20191201,2019,12,18.8
ON,WND,20191201,2019,12,1312.3
ON,BIO,20200101,2020,1,36.4
ON,GAS,20200101,2020,1,934.4
ON,HYD,20200101,2020,1,3208.5
ON,NUC,20200101,2020,1,8371.0
ON,SOL,20200101,2020,1,18.4
ON,WND,20200101,2020,1,1192.6
ON,BIO,20200201,2020,2,20.2
ON,GAS,20200201,2020,2,837.0
ON,HYD,20200201,2020,2,3121.3
ON,NUC,20200201,2020,2,6953.4
ON,SOL,20200201,2020,2,39.0
ON,WND,20200201,2020,2,1371.8
ON,BIO,20200301,2020,3,28.4
ON,GAS,20200301,2020,3,618.2
ON,HYD,20200301,2020,3,3144.5
ON,NUC,20200301,2020,3,7418.5
ON,SOL,20200301,2020,3,56.6
ON,WND,20200301,2020,3,1216.8
ON,BIO,20200401,2020,4,22.5
ON,GAS,20200401,2020,4,273.4
ON,HYD,20200401,2020,4,2927.2
ON,NUC,20200401,2020,4,7035.9
ON,SOL,20200401,2020,4,69.9
ON,WND,20200401,2020,4,967.5
ON,BIO,20200501,2020,5,31.7
ON,GAS,20200501,2020,5,461.7
ON,HYD,20200501,2020,5,3145.3
ON,NUC,20200501,2020,5,6960.1
ON,SOL,20200501,2020,5,82.8
ON,WND,20200501,2020,5,881.4
ON,BIO,20200601,2020,6,23.7
ON,GAS,20200601,2020,6,902.1
ON,HYD,20200601,2020,6,3173.6
ON,NUC,20200601,2020,6,7457.6
ON,SOL,20200601,2020,6,92.1
ON,WND,20200601,2020,6,606.6
ON,BIO,20200701,2020,7,32.0
ON,GAS,20200701,2020,7,1878.7
ON,HYD,20200701,2020,7,3250.6
ON,NUC,20200701,2020,7,8517.6
ON,SOL,20200701,2020,7,88.2
ON,WND,20200701,2020,7,514.9
ON,BIO,20200801,2020,8,17.4
ON,GAS,20200801,2020,8,1461.7
ON,HYD,20200801,2020,8,2757.0
ON,NUC,20200801,2020,8,7642.2
ON,SOL,20200801,2020,8,82.0
ON,WND,20200801,2020,8,588.8
ON,BIO,20200901,2020,9,25.4
ON,GAS,20200901,2020,9,698.2
ON,HYD,20200901,2020,9,2606.3
ON,NUC,20200901,2020,9,6622.5
ON,SOL,20200901,2020,9,66.8
ON,WND,20200901,2020,9,896.1
ON,BIO,20201001,2020,10,28.3
